Acid Type,Quantity,Storage Temperature,Container Material,Exposure Time,Ventilation Quality,Safety Equipment,Storage Area,Previous Incident,Risk Level
Tannic Acid (C₇₆H₅₂O₄₆),14,23,Fiber-Reinforced Plastic (FRP),0,Good,"Eye Wash Station Access, Respirator Mask",Laboratory,Fire Hazard,LOW RISK
Maleic Acid (C₄H₄O₄),43,45,Borosilicate Glass,36,Moderate,"Respirator Mask, Chemical-resistant Gloves, Safety Boots",Factory Floor,Acid Burn,MEDIUM RISK
Stearic Acid (C₁₈H₃₆O₂),166,106,Fiber-Reinforced Plastic (FRP),113,Fume Hood Ventilation,"Safety Goggles, Respirator Mask, Face Shield",Warehouse,Fire Hazard,CRITICAL RISK
Phosphoric Acid (H₃PO₄),14,19,Glass,5,Moderate,"Eye Wash Station Access, Chemical Suit, Full Body Protective Suit, Chemical-resistant Gloves",Outdoor Storage,Corrosion Damage,LOW RISK
Ascorbic Acid (C₆H₈O₆),15,34,Glass,22,Moderate,"Safety Goggles, Lab Coat, Chemical Suit, Full Body Protective Suit, Respirator Mask",Outdoor Storage,Acid Burn,MEDIUM RISK
Nitric Acid (HNO₃),491,116,Carbon Steel (coated),149,High,"Lab Coat, Respirator Mask, Safety Goggles",Cold Storage Unit,Acid Burn,CRITICAL RISK
Monochloroacetic Acid (C₂H₃ClO₂),14,30,Stainless Steel,4,Poor,"Safety Boots, Respirator Mask, Full Body Protective Suit, Gloves, Eye Wash Station Access",Laboratory,Fire Hazard,LOW RISK
Stearic Acid (C₁₈H₃₆O₂),114,50,Polypropylene,37,Good,"Safety Boots, Eye Wash Station Access, Lab Coat",Underground Storage,Toxic Gas Release,HIGH RISK
Sulfuric Acid (H₂SO₄),85,73,PTFE (Teflon-lined),47,Industrial Ventilation System,Full Body Protective Suit,Laboratory,Corrosion Damage,HIGH RISK
Palmitic Acid (C₁₆H₃₂O₂),4,22,Glass,2,Good,"Chemical Suit, Safety Boots, Respirator Mask",Outdoor Storage,None,LOW RISK
Malic Acid (C₄H₆O₅),216,97,Glass,159,High,Full Body Protective Suit,Factory Floor,Acid Burn,CRITICAL RISK
Carbonic Acid (H₂CO₃),117,54,Ceramic Containers,74,High,"Face Shield, Lab Coat, Chemical-resistant Gloves",Outdoor Storage,Explosion Risk,HIGH RISK
Arsenic Acid (H₃AsO₄),35,36,Glass,25,Moderate,"Safety Boots, Respirator Mask, Chemical Suit",Factory Floor,None,MEDIUM RISK
Picric Acid (C₆H₃N₃O₇),50,72,Borosilicate Glass,83,Moderate,"Full Body Protective Suit, Safety Boots",Outdoor Storage,Fire Hazard,HIGH RISK
Monochloroacetic Acid (C₂H₃ClO₂),8,25,Glass,11,Good,"Chemical Suit, Respirator Mask, Lab Coat, Full Body Protective Suit, Face Shield",Factory Floor,None,LOW RISK
Palmitic Acid (C₁₆H₃₂O₂),32,30,PVC (Polyvinyl Chloride),11,Industrial Ventilation System,Chemical-resistant Gloves,Chemical Storage Room,Fire Hazard,MEDIUM RISK
Propionic Acid (C₃H₆O₂),13,24,PVC (Polyvinyl Chloride),6,High,"Chemical-resistant Gloves, Safety Goggles, Respirator Mask",Laboratory,Fire Hazard,LOW RISK
Phosphoric Acid (H₃PO₄),177,88,Ceramic Containers,176,Poor,"Lab Coat, Safety Boots, Eye Wash Station Access",Hazardous Material Room,Acid Burn,CRITICAL RISK
Stearic Acid (C₁₈H₃₆O₂),6,16,PTFE (Teflon-lined),2,Industrial Ventilation System,Respirator Mask,Warehouse,Container Leakage,LOW RISK
Pyruvic Acid (C₃H₄O₃),117,43,Carbon Steel (coated),90,Moderate,"Safety Boots, Full Body Protective Suit, Chemical-resistant Gloves, Face Shield, Lab Coat",Underground Storage,Corrosion Damage,HIGH RISK
Selenic Acid (H₂SeO₄),46,40,HDPE Plastic,13,Low,"Safety Boots, Full Body Protective Suit, Safety Goggles, Chemical-resistant Gloves",Cold Storage Unit,Toxic Gas Release,MEDIUM RISK
Caproic Acid (C₆H₁₂O₂),379,104,Fiber-Reinforced Plastic (FRP),185,High,"Gloves, Safety Goggles, Eye Wash Station Access, Safety Boots",Outdoor Storage,None,CRITICAL RISK
Iodic Acid (HIO₃),8,27,PVC (Polyvinyl Chloride),6,Poor,"Face Shield, Chemical-resistant Gloves",Chemical Storage Room,Acid Spill,LOW RISK
Silicic Acid (H₄SiO₄),41,35,Polypropylene,26,Low,"Full Body Protective Suit, Chemical Suit, Respirator Mask",Chemical Storage Room,Container Leakage,MEDIUM RISK
Chromic Acid (H₂CrO₄),128,54,Ceramic Containers,65,Good,"Chemical-resistant Gloves, Chemical Suit, Lab Coat, Safety Goggles, Eye Wash Station Access",Hazardous Material Room,Acid Spill,HIGH RISK
Succinic Acid (C₄H₆O₄),60,53,Polypropylene,52,Industrial Ventilation System,"Lab Coat, Full Body Protective Suit",Factory Floor,Fire Hazard,HIGH RISK
Succinic Acid (C₄H₆O₄),47,40,Borosilicate Glass,37,Good,"Eye Wash Station Access, Gloves",Laboratory,Container Leakage,MEDIUM RISK
Malic Acid (C₄H₆O₅),130,62,Carbon Steel (coated),42,Low,"Eye Wash Station Access, Respirator Mask, Safety Boots",Laboratory,Acid Burn,HIGH RISK
Pyruvic Acid (C₃H₄O₃),307,85,Fiber-Reinforced Plastic (FRP),100,Poor,"Safety Boots, Lab Coat",Underground Storage,Explosion Risk,CRITICAL RISK
Tartaric Acid (C₄H₆O₆),9,17,Carbon Steel (coated),0,Industrial Ventilation System,Gloves,Hazardous Material Room,None,LOW RISK
Periodic Acid (HIO₄),2,23,Ceramic Containers,9,Fume Hood Ventilation,"Full Body Protective Suit, Chemical Suit, Gloves, Safety Goggles, Lab Coat",Warehouse,Acid Burn,LOW RISK
Hydrofluoric Acid (HF),12,23,Polypropylene,7,Good,"Gloves, Chemical-resistant Gloves, Safety Boots",Warehouse,Acid Burn,LOW RISK
Benzoic Acid (C₇H₆O₂),111,57,Glass,30,High,"Gloves, Chemical-resistant Gloves",Hazardous Material Room,Fire Hazard,HIGH RISK
Picric Acid (C₆H₃N₃O₇),57,41,PVC (Polyvinyl Chloride),21,Poor,"Respirator Mask, Eye Wash Station Access, Gloves",Warehouse,Container Leakage,MEDIUM RISK
Methacrylic Acid (C₄H₆O₂),34,30,Fiber-Reinforced Plastic (FRP),32,Low,"Full Body Protective Suit, Chemical-resistant Gloves, Safety Boots",Hazardous Material Room,Acid Burn,MEDIUM RISK
Sulfamic Acid (H₃NSO₃),161,94,Ceramic Containers,193,High,"Respirator Mask, Safety Boots, Face Shield, Gloves, Safety Goggles",Cold Storage Unit,Toxic Gas Release,CRITICAL RISK
Hydrofluoric Acid (HF),193,96,Borosilicate Glass,82,Moderate,"Eye Wash Station Access, Respirator Mask, Face Shield",Underground Storage,Corrosion Damage,CRITICAL RISK
Fumaric Acid (C₄H₄O₄),7,26,Fiber-Reinforced Plastic (FRP),6,Good,"Chemical Suit, Chemical-resistant Gloves",Chemical Storage Room,Acid Burn,LOW RISK
Arsenic Acid (H₃AsO₄),127,73,Carbon Steel (coated),79,Moderate,Face Shield,Cold Storage Unit,Corrosion Damage,HIGH RISK
Succinic Acid (C₄H₆O₄),143,55,PVC (Polyvinyl Chloride),95,Moderate,Safety Boots,Hazardous Material Room,Container Leakage,HIGH RISK
Ascorbic Acid (C₆H₈O₆),157,58,PVC (Polyvinyl Chloride),48,Moderate,"Gloves, Safety Boots, Respirator Mask, Chemical Suit",Hazardous Material Room,Acid Burn,HIGH RISK
Succinic Acid (C₄H₆O₄),92,51,PTFE (Teflon-lined),36,Good,"Full Body Protective Suit, Safety Boots, Safety Goggles",Laboratory,Toxic Gas Release,HIGH RISK
Succinic Acid (C₄H₆O₄),64,78,Polypropylene,79,Moderate,"Respirator Mask, Chemical-resistant Gloves, Safety Goggles, Lab Coat",Underground Storage,Corrosion Damage,HIGH RISK
Butyric Acid (C₄H₈O₂),23,33,Borosilicate Glass,36,Moderate,"Lab Coat, Safety Goggles, Safety Boots, Eye Wash Station Access",Factory Floor,Acid Spill,MEDIUM RISK
Trifluoroacetic Acid (CF₃COOH),34,41,PVC (Polyvinyl Chloride),33,Moderate,"Chemical Suit, Eye Wash Station Access, Lab Coat",Warehouse,Corrosion Damage,MEDIUM RISK
Propionic Acid (C₃H₆O₂),13,15,HDPE Plastic,13,Fume Hood Ventilation,"Lab Coat, Chemical Suit, Safety Goggles, Eye Wash Station Access",Underground Storage,Corrosion Damage,LOW RISK
Benzoic Acid (C₇H₆O₂),50,73,Ceramic Containers,78,Poor,"Face Shield, Respirator Mask",Factory Floor,None,HIGH RISK
Hypochlorous Acid (HClO),12,25,Polypropylene,19,Poor,"Safety Boots, Gloves, Eye Wash Station Access, Safety Goggles",Factory Floor,None,MEDIUM RISK
Peracetic Acid (C₂H₄O₃),4,27,PTFE (Teflon-lined),4,Fume Hood Ventilation,"Eye Wash Station Access, Lab Coat, Face Shield, Safety Goggles",Factory Floor,Explosion Risk,LOW RISK
Perchloric Acid (HClO₄),150,59,PTFE (Teflon-lined),55,Low,Respirator Mask,Factory Floor,None,HIGH RISK
Trifluoroacetic Acid (CF₃COOH),480,93,Carbon Steel (coated),206,Poor,"Chemical Suit, Face Shield, Lab Coat",Factory Floor,Corrosion Damage,CRITICAL RISK
Hydrochloric Acid (HCl),263,119,Ceramic Containers,203,Low,"Respirator Mask, Lab Coat, Eye Wash Station Access",Warehouse,Toxic Gas Release,CRITICAL RISK
Caproic Acid (C₆H₁₂O₂),11,28,PVC (Polyvinyl Chloride),0,Industrial Ventilation System,"Chemical Suit, Safety Boots, Chemical-resistant Gloves, Eye Wash Station Access, Face Shield",Underground Storage,Fire Hazard,LOW RISK
Methacrylic Acid (C₄H₆O₂),226,109,Fiber-Reinforced Plastic (FRP),119,Good,"Face Shield, Safety Boots, Safety Goggles, Chemical-resistant Gloves, Full Body Protective Suit",Chemical Storage Room,None,CRITICAL RISK
Hydrochloric Acid (HCl),154,66,Carbon Steel (coated),85,Good,"Eye Wash Station Access, Respirator Mask, Full Body Protective Suit, Chemical-resistant Gloves",Warehouse,Corrosion Damage,HIGH RISK
Maleic Acid (C₄H₄O₄),2,25,PTFE (Teflon-lined),11,High,"Eye Wash Station Access, Respirator Mask, Lab Coat, Chemical-resistant Gloves, Safety Boots",Chemical Storage Room,Acid Burn,LOW RISK
Caproic Acid (C₆H₁₂O₂),60,45,Stainless Steel,20,Low,"Chemical Suit, Chemical-resistant Gloves, Face Shield, Eye Wash Station Access",Laboratory,Container Leakage,MEDIUM RISK
Adipic Acid (C₆H₁₀O₄),4,29,HDPE Plastic,15,Fume Hood Ventilation,"Chemical-resistant Gloves, Face Shield, Gloves, Full Body Protective Suit",Hazardous Material Room,Explosion Risk,LOW RISK
Sulfuric Acid (H₂SO₄),4,28,Carbon Steel (coated),15,Poor,"Chemical Suit, Respirator Mask, Gloves",Warehouse,None,LOW RISK
Hydrofluoric Acid (HF),380,102,Glass,94,Moderate,Chemical Suit,Warehouse,None,CRITICAL RISK
Hypochlorous Acid (HClO),478,120,Stainless Steel,158,Good,"Safety Goggles, Eye Wash Station Access, Full Body Protective Suit, Chemical-resistant Gloves",Factory Floor,Acid Burn,CRITICAL RISK
Sulfamic Acid (H₃NSO₃),73,69,Borosilicate Glass,60,Good,"Safety Goggles, Face Shield",Cold Storage Unit,None,HIGH RISK
Tannic Acid (C₇₆H₅₂O₄₆),4,18,HDPE Plastic,0,Low,"Lab Coat, Face Shield, Gloves",Hazardous Material Room,None,LOW RISK
Stearic Acid (C₁₈H₃₆O₂),7,25,Borosilicate Glass,4,Good,"Eye Wash Station Access, Safety Boots, Gloves",Outdoor Storage,Corrosion Damage,LOW RISK
Monochloroacetic Acid (C₂H₃ClO₂),49,32,Carbon Steel (coated),33,Fume Hood Ventilation,"Respirator Mask, Lab Coat, Safety Boots, Gloves, Full Body Protective Suit",Warehouse,Container Leakage,MEDIUM RISK
Propionic Acid (C₃H₆O₂),74,61,Glass,51,Low,"Lab Coat, Chemical-resistant Gloves, Safety Goggles",Chemical Storage Room,Acid Spill,HIGH RISK
Selenic Acid (H₂SeO₄),21,30,Polypropylene,28,Fume Hood Ventilation,Full Body Protective Suit,Outdoor Storage,Corrosion Damage,MEDIUM RISK
Chloric Acid (HClO₃),7,26,Borosilicate Glass,13,Fume Hood Ventilation,"Eye Wash Station Access, Safety Boots, Lab Coat",Outdoor Storage,Acid Spill,LOW RISK
Oxalic Acid (C₂H₂O₄),44,63,Ceramic Containers,30,High,"Eye Wash Station Access, Chemical-resistant Gloves",Outdoor Storage,Explosion Risk,HIGH RISK
Acetic Acid (CH₃COOH),92,63,PTFE (Teflon-lined),83,Good,"Safety Boots, Chemical-resistant Gloves",Cold Storage Unit,Explosion Risk,HIGH RISK
Adipic Acid (C₆H₁₀O₄),131,40,PTFE (Teflon-lined),78,Poor,"Gloves, Chemical Suit, Chemical-resistant Gloves, Face Shield, Respirator Mask",Laboratory,Container Leakage,HIGH RISK
Silicic Acid (H₄SiO₄),34,42,HDPE Plastic,35,Fume Hood Ventilation,"Full Body Protective Suit, Safety Goggles, Face Shield",Laboratory,Container Leakage,MEDIUM RISK
Chromic Acid (H₂CrO₄),90,60,Polypropylene,80,Fume Hood Ventilation,"Safety Boots, Respirator Mask, Safety Goggles, Chemical-resistant Gloves, Full Body Protective Suit",Warehouse,Container Leakage,HIGH RISK
Methacrylic Acid (C₄H₆O₂),50,66,PTFE (Teflon-lined),93,High,"Gloves, Eye Wash Station Access, Lab Coat, Chemical Suit",Factory Floor,Fire Hazard,HIGH RISK
Benzoic Acid (C₇H₆O₂),104,66,Stainless Steel,80,Industrial Ventilation System,Gloves,Outdoor Storage,Acid Burn,HIGH RISK
Selenic Acid (H₂SeO₄),103,50,PTFE (Teflon-lined),83,High,"Respirator Mask, Safety Goggles, Lab Coat",Factory Floor,Container Leakage,HIGH RISK
Picric Acid (C₆H₃N₃O₇),92,55,Carbon Steel (coated),38,Fume Hood Ventilation,Face Shield,Cold Storage Unit,Acid Spill,HIGH RISK
Hydrochloric Acid (HCl),13,29,Polypropylene,12,Poor,"Eye Wash Station Access, Face Shield, Chemical Suit, Lab Coat, Chemical-resistant Gloves",Laboratory,Acid Burn,LOW RISK
Hypochlorous Acid (HClO),345,70,Glass,88,Moderate,"Face Shield, Safety Boots",Factory Floor,Toxic Gas Release,CRITICAL RISK
Stearic Acid (C₁₈H₃₆O₂),11,28,Fiber-Reinforced Plastic (FRP),21,Industrial Ventilation System,"Chemical-resistant Gloves, Chemical Suit",Factory Floor,Toxic Gas Release,MEDIUM RISK
Chromic Acid (H₂CrO₄),40,26,Stainless Steel,13,Moderate,"Respirator Mask, Safety Goggles, Eye Wash Station Access, Full Body Protective Suit",Warehouse,Toxic Gas Release,MEDIUM RISK
Oxalic Acid (C₂H₂O₄),121,116,Fiber-Reinforced Plastic (FRP),147,Moderate,"Safety Goggles, Respirator Mask",Cold Storage Unit,Explosion Risk,CRITICAL RISK
Salicylic Acid (C₇H₆O₃),2,25,Borosilicate Glass,15,Industrial Ventilation System,"Full Body Protective Suit, Chemical Suit",Outdoor Storage,Acid Burn,LOW RISK
Perchloric Acid (HClO₄),95,75,PTFE (Teflon-lined),92,High,"Chemical-resistant Gloves, Face Shield, Lab Coat, Respirator Mask, Full Body Protective Suit",Underground Storage,Acid Spill,HIGH RISK
Periodic Acid (HIO₄),133,75,HDPE Plastic,69,Moderate,Chemical Suit,Underground Storage,Toxic Gas Release,HIGH RISK
Propionic Acid (C₃H₆O₂),455,87,Polypropylene,105,Industrial Ventilation System,"Chemical Suit, Full Body Protective Suit, Gloves, Safety Boots",Laboratory,Acid Spill,CRITICAL RISK
Fumaric Acid (C₄H₄O₄),133,50,Stainless Steel,60,Moderate,"Respirator Mask, Face Shield, Lab Coat",Cold Storage Unit,Explosion Risk,HIGH RISK
Propionic Acid (C₃H₆O₂),19,25,Carbon Steel (coated),15,Moderate,"Lab Coat, Eye Wash Station Access",Chemical Storage Room,Container Leakage,MEDIUM RISK
Sulfamic Acid (H₃NSO₃),430,78,Glass,104,Low,"Full Body Protective Suit, Chemical Suit, Gloves, Safety Goggles",Chemical Storage Room,Toxic Gas Release,CRITICAL RISK
Stearic Acid (C₁₈H₃₆O₂),149,59,Borosilicate Glass,83,Moderate,"Face Shield, Safety Boots, Lab Coat, Gloves, Chemical Suit",Underground Storage,None,HIGH RISK
Stearic Acid (C₁₈H₃₆O₂),86,52,Stainless Steel,45,Poor,"Respirator Mask, Chemical Suit, Gloves, Safety Boots, Full Body Protective Suit",Hazardous Material Room,None,HIGH RISK
Periodic Acid (HIO₄),220,99,Fiber-Reinforced Plastic (FRP),126,High,"Eye Wash Station Access, Full Body Protective Suit",Warehouse,Explosion Risk,CRITICAL RISK
Malic Acid (C₄H₆O₅),68,40,PVC (Polyvinyl Chloride),46,High,"Eye Wash Station Access, Lab Coat, Full Body Protective Suit",Chemical Storage Room,Acid Spill,HIGH RISK
Trifluoroacetic Acid (CF₃COOH),3,23,Glass,15,Good,"Chemical-resistant Gloves, Full Body Protective Suit, Respirator Mask, Lab Coat, Face Shield",Underground Storage,Container Leakage,LOW RISK
Benzoic Acid (C₇H₆O₂),19,39,HDPE Plastic,22,Good,"Respirator Mask, Lab Coat, Safety Goggles, Chemical Suit",Outdoor Storage,Acid Burn,MEDIUM RISK
Stearic Acid (C₁₈H₃₆O₂),31,27,Stainless Steel,26,Low,"Full Body Protective Suit, Safety Goggles",Outdoor Storage,Fire Hazard,MEDIUM RISK
Phosphoric Acid (H₃PO₄),59,30,Polypropylene,33,Fume Hood Ventilation,"Eye Wash Station Access, Face Shield, Full Body Protective Suit",Underground Storage,Acid Burn,MEDIUM RISK
Trifluoroacetic Acid (CF₃COOH),14,44,HDPE Plastic,31,High,"Respirator Mask, Eye Wash Station Access",Factory Floor,Acid Spill,MEDIUM RISK
Benzoic Acid (C₇H₆O₂),104,46,Carbon Steel (coated),41,Industrial Ventilation System,"Lab Coat, Chemical-resistant Gloves, Gloves",Cold Storage Unit,Explosion Risk,HIGH RISK
Arsenic Acid (H₃AsO₄),121,57,PTFE (Teflon-lined),96,Fume Hood Ventilation,"Face Shield, Gloves",Underground Storage,Explosion Risk,HIGH RISK
Acetic Acid (CH₃COOH),121,80,Fiber-Reinforced Plastic (FRP),52,High,"Eye Wash Station Access, Safety Boots",Chemical Storage Room,Explosion Risk,HIGH RISK
Butyric Acid (C₄H₈O₂),330,85,PTFE (Teflon-lined),231,Low,"Gloves, Chemical-resistant Gloves",Underground Storage,Explosion Risk,CRITICAL RISK
Palmitic Acid (C₁₆H₃₂O₂),49,26,HDPE Plastic,10,Good,Safety Boots,Outdoor Storage,Explosion Risk,MEDIUM RISK
Citric Acid (C₆H₈O₇),127,50,Glass,85,Good,"Chemical Suit, Chemical-resistant Gloves, Face Shield, Safety Boots, Safety Goggles",Hazardous Material Room,Explosion Risk,HIGH RISK
Phosphoric Acid (H₃PO₄),218,96,Glass,109,High,"Full Body Protective Suit, Gloves, Eye Wash Station Access, Safety Goggles",Laboratory,Acid Spill,CRITICAL RISK
Silicic Acid (H₄SiO₄),345,115,Carbon Steel (coated),183,Fume Hood Ventilation,"Safety Goggles, Chemical Suit, Lab Coat",Factory Floor,Fire Hazard,CRITICAL RISK
Palmitic Acid (C₁₆H₃₂O₂),7,23,Polypropylene,11,Moderate,Eye Wash Station Access,Laboratory,Toxic Gas Release,LOW RISK
Pyruvic Acid (C₃H₄O₃),357,72,Carbon Steel (coated),104,Good,"Full Body Protective Suit, Respirator Mask",Laboratory,None,CRITICAL RISK
Benzoic Acid (C₇H₆O₂),13,17,HDPE Plastic,3,High,"Safety Boots, Safety Goggles, Respirator Mask",Outdoor Storage,Toxic Gas Release,LOW RISK
Silicic Acid (H₄SiO₄),80,44,Glass,66,Good,"Chemical-resistant Gloves, Chemical Suit, Gloves, Full Body Protective Suit, Lab Coat",Cold Storage Unit,Toxic Gas Release,HIGH RISK
Hydrochloric Acid (HCl),49,52,Stainless Steel,73,Low,"Chemical Suit, Safety Goggles, Safety Boots",Warehouse,Explosion Risk,HIGH RISK
Chloric Acid (HClO₃),129,63,HDPE Plastic,52,Low,"Chemical-resistant Gloves, Chemical Suit, Lab Coat, Face Shield, Safety Boots",Laboratory,Acid Burn,HIGH RISK
Picric Acid (C₆H₃N₃O₇),59,41,Fiber-Reinforced Plastic (FRP),22,Low,"Lab Coat, Chemical Suit, Full Body Protective Suit, Safety Goggles, Gloves",Hazardous Material Room,Acid Spill,MEDIUM RISK
Gluconic Acid (C₆H₁₂O₇),56,65,HDPE Plastic,52,Good,"Respirator Mask, Full Body Protective Suit, Eye Wash Station Access, Lab Coat, Chemical Suit",Outdoor Storage,None,HIGH RISK
Tartaric Acid (C₄H₆O₆),433,80,Carbon Steel (coated),186,Low,"Lab Coat, Safety Goggles, Eye Wash Station Access, Chemical Suit",Hazardous Material Room,Toxic Gas Release,CRITICAL RISK
Gluconic Acid (C₆H₁₂O₇),228,107,Polypropylene,195,Poor,"Lab Coat, Safety Goggles, Safety Boots",Chemical Storage Room,Acid Spill,CRITICAL RISK
Monochloroacetic Acid (C₂H₃ClO₂),284,85,Stainless Steel,86,Moderate,"Gloves, Safety Boots, Lab Coat, Eye Wash Station Access",Hazardous Material Room,Acid Burn,CRITICAL RISK
Benzoic Acid (C₇H₆O₂),407,92,HDPE Plastic,163,Poor,"Full Body Protective Suit, Eye Wash Station Access",Outdoor Storage,Corrosion Damage,CRITICAL RISK
Periodic Acid (HIO₄),80,66,Polypropylene,97,Moderate,"Lab Coat, Chemical-resistant Gloves",Chemical Storage Room,Acid Burn,HIGH RISK
Chloric Acid (HClO₃),390,76,Ceramic Containers,175,Poor,"Face Shield, Gloves, Chemical Suit, Full Body Protective Suit",Outdoor Storage,Explosion Risk,CRITICAL RISK
Chloric Acid (HClO₃),18,31,HDPE Plastic,21,Moderate,"Safety Boots, Full Body Protective Suit",Laboratory,Toxic Gas Release,MEDIUM RISK
Carbonic Acid (H₂CO₃),221,94,HDPE Plastic,184,High,"Lab Coat, Full Body Protective Suit, Chemical-resistant Gloves",Warehouse,Container Leakage,CRITICAL RISK
Hydrofluoric Acid (HF),1,22,Polypropylene,6,High,"Gloves, Chemical-resistant Gloves, Chemical Suit, Safety Boots",Outdoor Storage,Acid Spill,LOW RISK
Formic Acid (HCOOH),331,75,Glass,128,Fume Hood Ventilation,"Lab Coat, Face Shield, Chemical-resistant Gloves",Warehouse,Explosion Risk,CRITICAL RISK
Citric Acid (C₆H₈O₇),453,74,Carbon Steel (coated),140,High,Respirator Mask,Laboratory,Explosion Risk,CRITICAL RISK
Carbonic Acid (H₂CO₃),256,77,Carbon Steel (coated),231,Good,"Full Body Protective Suit, Lab Coat, Chemical-resistant Gloves, Chemical Suit",Factory Floor,Corrosion Damage,CRITICAL RISK
Ascorbic Acid (C₆H₈O₆),13,24,Polypropylene,7,Poor,"Safety Boots, Respirator Mask, Chemical-resistant Gloves",Chemical Storage Room,Fire Hazard,LOW RISK
